long,lat,name,cbg,cb,down_stream,up_stream
-121.77033855919288,38.5500787577729,['P10-041-1'],061130105121,061130105121004,"[(-121.77035931871397, 38.548828105221666)]",[]
-121.76919553083354,38.54848066266277,['P10-061-1'],061130105121,061130105121000,"[(-121.77042283714611, 38.54857252297984)]","[(-121.76918272262893, 38.549854810134065)]"
-121.77148344623915,38.54966983317984,['P10-047-1'],061130105122,061130105122004,"[(-121.77252700570604, 38.54967748392126)]","[(-121.77149323307289, 38.548841068431955)]"
-121.77252700570604,38.54967748392126,['P10-046-1'],061130105122,061130105122006,"[(-121.77480184619893, 38.549696474001834)]","[(-121.77148344623915, 38.54966983317984), (-121.7725403141328, 38.54879868603696)]"
-121.77149323307289,38.548841068431955,['P10-054-1'],061130105122,061130105122007,"[(-121.77148344623915, 38.54966983317984)]","[(-121.77150179921158, 38.54822749645118), (-121.77035931871397, 38.548828105221666)]"
-121.7713427834761,38.547790730404515,['P10-066-1'],061130105122,061130105122007,"[(-121.7725736460243, 38.54749122038021)]",[]
-121.77150179921158,38.54822749645118,['P10-059-1'],061130105122,061130105122007,"[(-121.77149323307289, 38.548841068431955)]",[]
-121.77266688494485,38.552039628048156,['P10-028-1'],061130105122,061130105122004,"[(-121.77379125685593, 38.552062093286054)]",[]
-121.77305080607188,38.55287896434191,['P10-017-1'],061130105122,061130105122002,"[(-121.77388079776622, 38.55288576227912)]","[(-121.77177702360639, 38.55286567076105)]"
-121.77289675312086,38.55352901727029,['P10-006-1'],061130105122,061130105122000,"[(-121.77463961442783, 38.553549996634885)]",[]
-121.77086481177014,38.553448509811,['P10-010-1'],061130105122,061130105122000,"[(-121.77080759461, 38.55298737971001)]","[(-121.76976538538663, 38.553435018834556), (-121.77086190898711, 38.553669164963466)]"
-121.77179734902988,38.553516267817,['P10-008-1'],061130105122,061130105122000,"[(-121.77177702360639, 38.55286567076105)]","[(-121.7727015226567, 38.55352712786996)]"
-121.77137503359556,38.55058075143084,['P10-037-1'],061130105122,061130105122004,"[(-121.77145246896174, 38.55180342371636)]","[(-121.77092399901929, 38.550576063291466)]"
